short_name,EN_longname,ZH_longname
BW,Baden-Württemberg,巴登－符腾堡州
BY,Bavaria,拜仁
BB,Brandenburg,勃兰登堡
HE,Hesse,黑森
MV,Mecklenburg-Vorpommern,梅克倫堡－前波美拉尼亞
NDS,Lower Saxony,下萨克森州
NRW,North Rhine-Westphalia,北莱茵－威斯特法伦
RP,Rhineland-Palatinate,萊因蘭-法爾茲
SL,Saarland,萨尔区
SN,Saxony,萨克森自由州
SA,Saxony-Anhalt,萨克森-安哈尔特
SH,Schleswig-Holstein,石勒苏益格—荷尔斯泰因
Thuringia,Thuringia,图林根
